,author,updated_at,like_count,text,public,is_subscriber
0,@analyticswithadam,2024-02-06T21:00:47Z,1,Updated Video https://youtu.be/A1III_DQU4I?si=_8-d4OpoIHpr2jJm,True,"LEVEL UP YOUR BUSINESS ANALYSIS with our  Videos tutorials, weekly videos covering business analytics concepts and tools such as SQL, Excel, PowerBi and Python. 

This channel is aimed at business users and students who want to leverage data analysis tools to improve their role performance or data analytics portfolios. 

My name is Adam, I am in the midst of a varied techo-functional career where I have worked as a data end user (business analyst / accountant) and am now leading some finance analytics projects for one of the world's top consultancy firms. Using my experience with both large and small business I hope to share relevant, usable and actionable tutorials / walkthroughs. I believe in lifelong learning and am learning everyday.    

#businessanalytics #businessanalysis #dataanalytics #datavisualization #dataanalysis #bigquery #powerbi #SQL #excel #python

"
1,@digitaltechy6217,2024-02-27T13:56:15Z,1,❤💯🙏 Thanks a ton fir this Video 💯🙏❤,True,
2,@bertrandlandry,2024-02-25T12:56:05Z,0,"Hello Adam... How can we grab all the comments and not being limited?

Great work!!!",True,
3,@ruari-mcn-fs,2024-02-22T22:49:46Z,0,Great tutorial thanks mate! Are you a fellow Irishman?,True,Webflow Web App Developer at Finsweet.
4,@niveditatanksali7686,2024-02-19T14:05:23Z,0,Is there a way to export the list of comments into an excel sheet?,True,
5,@analyticswithadam,2024-02-06T21:00:08Z,0,Updated video with replies https://youtu.be/A1III_DQU4I?si=_8-d4OpoIHpr2jJm,True,"LEVEL UP YOUR BUSINESS ANALYSIS with our  Videos tutorials, weekly videos covering business analytics concepts and tools such as SQL, Excel, PowerBi and Python. 

This channel is aimed at business users and students who want to leverage data analysis tools to improve their role performance or data analytics portfolios. 

My name is Adam, I am in the midst of a varied techo-functional career where I have worked as a data end user (business analyst / accountant) and am now leading some finance analytics projects for one of the world's top consultancy firms. Using my experience with both large and small business I hope to share relevant, usable and actionable tutorials / walkthroughs. I believe in lifelong learning and am learning everyday.    

#businessanalytics #businessanalysis #dataanalytics #datavisualization #dataanalysis #bigquery #powerbi #SQL #excel #python

"
6,@erramuspe1,2024-01-31T19:51:31Z,0,"Great information, thanks for contribution!!",True,
7,@jasongibbs5357,2024-01-22T01:41:55Z,0,"Need a direct link to Google Cloud or API it is requiring me to sign up and get $300 dollar credit to spend in the next 90 days, WTF. I cannot continue since this tutorial video is incomplete. They are forcing me to put in a payment method. I have done a google API before with no issue..",True,
8,@user-hx2xi1bs1c,2024-01-03T15:15:32Z,1,"Great stuff, thanks! I wonder if I can retrieve all comments related to specific topic or video title (from multiple videos) or video link is required parameter? Thanks again.",True,
9,@hanifbudiarti,2023-12-04T14:40:36Z,1,thankyou adam,True,
10,@mayurhanwate6012,2023-11-13T19:13:52Z,1,good video,True,whos cares
11,@ketonesgaming1121,2023-11-10T19:40:02Z,0,How many maximum comments can we pull at a time ? I can pull 20 commments . But I want to get more .. Help us,True,"Welcome to my Channel.
Make sure you like and subscribe :)"
12,@soumilyade1057,2023-11-10T04:36:31Z,0,Only the top level comments are returned through the API. How do we get all the comments?,True,
13,@crisearlbalangyao3190,2023-11-02T04:42:15Z,0,How do I put the comments into spreadsheet?,True,
14,@analyticswithadam,2023-10-31T09:22:11Z,1,Finally got around to making the advanced video. Find out how to Scrape all comments and attributes here https://youtu.be/0FtcHjI5lmw?si=QtUjhVqTXJS3YKZP,True,"LEVEL UP YOUR BUSINESS ANALYSIS with our  Videos tutorials, weekly videos covering business analytics concepts and tools such as SQL, Excel, PowerBi and Python. 

This channel is aimed at business users and students who want to leverage data analysis tools to improve their role performance or data analytics portfolios. 

My name is Adam, I am in the midst of a varied techo-functional career where I have worked as a data end user (business analyst / accountant) and am now leading some finance analytics projects for one of the world's top consultancy firms. Using my experience with both large and small business I hope to share relevant, usable and actionable tutorials / walkthroughs. I believe in lifelong learning and am learning everyday.    

#businessanalytics #businessanalysis #dataanalytics #datavisualization #dataanalysis #bigquery #powerbi #SQL #excel #python

"
15,@shuvodeeptalukdarsh-2143,2023-10-30T15:13:26Z,0,wow,True,
16,@mudeamemdm8299,2023-10-26T22:02:12Z,1,works with live video ?,True,
17,@shahirnaga4507,2023-10-22T07:57:21Z,0,Great video! will it also scrape Instagram videos?,True,
18,@JavierRodriguez-wq3yw,2023-10-14T11:02:05Z,0,Thank you so much! Great video. Looking forward to the second part,True,
19,@GraceZhang-oo5sf,2023-10-11T19:22:05Z,0,Great video! Can you make an explain video on how to write the code for these pull comments? Why do we need these libraries? Where can we find the format ' youtube = googleapiclient.discovery.build'? Thank you vary much!,True,
20,@JeanSuman,2023-10-03T15:01:35Z,0,"I tried to make a loop to get all the videos from a channel and scrape all the comments. However, it gave the following error ""the request cannot be completed because you have exceeded your quota"" - From what I understand, the API has a daily request limit, is that it? - In fact, when the video has a private comment, the request returns 403.",True,
21,@hernandosangkanparan5543,2023-09-30T15:38:26Z,0,"Hi, i Found this video to be very helpfull in my research, I am wondering if there is a way to get the result to be top comment instead of latest comment ?",True,
22,@SuneetDSilva-ll9ij,2023-09-28T18:44:04Z,0,Does this work with Youtube shorts?,True,
23,@haroldh200,2023-09-28T05:03:20Z,1,No te olvides de continuar este proyecto y agregar mas paginacion a los 100 comentarios por favor,True,
24,@zapalblizh,2023-09-14T14:43:46Z,1,"question, i'm currently using the youtube api to get comments from a video, however, for some reason, the api also gets the comments deleted by the channel's owner (like scam comments or hateful comments that were deleted from the video comments for obvious reasons) is there any way to remove those type of comments from the api request without having to find every single hateful comment's id and remove them manually?",True,
25,@estebanlopez5372,2023-09-09T11:55:34Z,1,"But it doesn't show all the comments, even changing the ""maxResults"" variable :(",True,
26,@user-fq3eb4hq8r,2023-09-07T16:45:12Z,2,Thank you so much Adam .It is really very helpful.,True,
27,@romanr8668,2023-08-17T13:42:43Z,0,"Very helpful video. I was doing web scrapping using bs4 and selenium, but this API way is very good and easy.",True,
28,@gabiru-danger,2023-08-07T03:45:07Z,1,Can i scrap any youtube video? Or just the video that i have on my channel?,True,
